$, Claw;OnCreativity (2012)  [Himself]
95, Holmen;Amors baller (2011)  [Guttelaget]  <26>
98 Degrees;20th Century Masters: The Best of 98 Degrees (2005) (V)  [Themselves] 68th Annual Hollywood Christmas Parade (1999) (TV)  [Themselves] 98 Degrees: The Collection (2002) (V)  [Themselves] 98°: Kickin' It - Unauthorized (1999) (V)  [Themselves] Amy Grant: A Christmas to Remember (1999) (TV)  [Themselves - Guests] Bop Boys: The Videos (1998) (V)  [Themselves] Bubblegum Babylon (2002) (TV)  [Themselves] Christmas in Washington (1999) (TV)  [Themselves] L'Oreal Summer Music Mania (1999) (TV)  [Themselves - Performers: 'The Sweetest Thing'] Macy's Thanksgiving Day Parade (1998) (TV)  [Themselves] Macy's Thanksgiving Day Parade (1999) (TV)  [Themselves] MTV New Year's Eve 1998 (1998) (TV)  [Themselves - Performers] New Year's Rockin' Eve 2001 (2000) (TV)  [Themselves - Performers] Nickelodeon Kids' Choice Awards 2000 (2000) (TV)  [Themselves] Radio City Music Hall's Grand Re-Opening Gala (1999) (TV)  [Themselves] The 1999 Billboard Music Awards (1999) (TV)  [Themselves] The 25th Annual American Music Awards (1998) (TV)  [Themselves] The 26th Annual American Music Awards (1999) (TV)  [Themselves] The 28th Annual American Music Awards (2001) (TV)  [Themselves - Presenters] The Teen Choice Awards 1999 (1999) (TV)  [Themselves]  <6> Walt Disney World Very Merry Christmas Parade (1999) (TV) Big Morning Buzz Live (2011) {98 Degrees/Kathleen Robertson/Antonia Lofaso (#5.30)}  [Themselves]  <2> Big Morning Buzz Live (2011) {Big and Best of 2012 - Live Stream Edition}  (archive footage)  [Themselves]  <6> Big Morning Buzz Live (2011) {Craig Robinson/David Alan Grier/98 Degrees (#7.75)}  [Themselves - Musical Guest]  <4> Big Morning Buzz Live (2011) {New Kids on the Block/Boyz II Men/98 Degrees (#7.3)}  [Themselves]  <4> Big Morning Buzz Live (2011) {Wendy Williams/Eve/Cast of 'Star Trek Into Darkness'/98 Degrees (#7.78)}  [Themselves - Musical Guest]  <4> Making the Video (1999) {98 Degrees: Give Me Just One Night (#3.7)} Making the Video (1999) {98 Degrees: I Do (Cherish You) (#1.1)} Making the Video (1999) {Do It Big Time (#3.1)} Rachael Ray (2006) {98 Degrees Performs In-Studio and Surprises Their Biggest Fan Rach Tackles Mud, Fire and Barbed Wire on a Challenge Course!}  [Themselves] Soul Train (1971) {K-CI & Jojo/98'/Myron (#27.7)}  [Guests] The Rosie O'Donnell Show (1996) {(1999-05-13)}  [Themselves] The Rosie O'Donnell Show (1996) {(2000-09-25)}  [Themselves] The Rosie O'Donnell Show (1996) {(2001-02-26)}  [Themselves] The Tonight Show with Jay Leno (1992) {(#21.144)}  [Themselves - Musical Guest]  <5> The Tonight Show with Jay Leno (1992) {(#7.205)}  [Themselves - Musical Guest] The Tonight Show with Jay Leno (1992) {(#7.66)}  [Themselves - Musical Guest] The Tonight Show with Jay Leno (1992) {(#8.268)}  [Themselves - Musical Guest] The Tonight Show with Jay Leno (1992) {(#9.33)}  [Musical Guest] Video on Trial (2005) {Holiday Crap (#2.14)}  (archive footage)  [Themselves]
986, Spiritu;Música sí (1997) {(2001-03-24)}
999;Entrées de secours (1983)  [Eux-mêmes] Punk's Not Dead (2007)  [Themselves] Urgh! A Music War (1981)  [Themselves]  <148>
?, Mr.;Shockheaded (2002) (V)  [The Empty Man]  <2>
@Mic;Up Late with Liam (2003) (V)  [Himself]  <2>
A Al-Mahruqi, Noor;Filigrane (2014)  [Sahar]
A Camp;Allsång på Skansen (1979) {(#24.2)}  [Themselves - Musical Guest] ITV at the Festivals (2000) {(2001-11-09)}  [Themselves] Skavlan (2009) {(#1.3)}  [Themselves - Performers]
A El Rahim, Ahmed;Bitange i princeze (2005) {Inkasator uvijek zvoni dvaput (#2.24)}  [Sudac] Nasa mala klinika (2004/II) {Sve crno (#4.6)}  [Kutku] Obecana zemlja (2002)  [Andelko Fiolic]  <5> Vecernja skola: Povratak upisanih (2005) {(#1.1)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.10)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.11)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.12)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.13)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.14)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.15)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.16)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.2)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.3)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.4)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.5)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.6)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.7)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.8)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#1.9)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.18)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.19)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.20)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.21)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.22)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.23)}  [Antimon]  <3> Vecernja skola: Povratak upisanih (2005) {(#2.24)}  [Antimon]  <3> Vecernja skola: Povratak upisanih (2005) {(#2.25)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.26)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.27)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.28)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.29)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.3)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.30)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.31)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {(#2.9)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Bracna nevjera (#2.13)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Elvis Presley (#2.6)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Kako smo proveli ljeto (#2.1)}  [Antimon] Vecernja skola: Povratak upisanih (2005) {Ono i DSZ (#2.17)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Osveta Crne udovice (#2.2)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Osveta zelenog obada (#2.4)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Povrat (#2.12)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Prometna guzva (#2.14)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Pticja gripa (#2.5)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Rasizam (#2.16)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Sport (#2.15)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Umiranje (#2.8)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Umri muski (#2.7)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Vrijeme darivanja (#2.11)}  [Antimon]  <4> Vecernja skola: Povratak upisanih (2005) {Zacece (#2.10)}  [Antimon]  <4>
A Heygum, Runa;Skuld (2014)  [Durita]
A la Mode, Mariel;Our Most Beautiful Love Stories (Are the Ones We Scripted) (2011)  [Sleeping Beauty]
A Taste of Honey;American Bandstand's 50th Anniversary Celebration (2002) (TV)  [Themselves - Performers] Divas of Disco (2007) (V)  [Themselves] My Music: Funky Soul Superstars (2005) (TV)  [Themselves] The 21st Annual Grammy Awards (1979) (TV)  [Themselves] Lou Rawls Parade of Stars (1980) {(1983-12-10)}  [Themselves] Soul Train (1971) {(#10.24)}  [Themselves] The Mike Douglas Show (1961) {(#17.10)}  [Themselves - Disco Group] The Mike Douglas Show (1961) {(#17.11)}  [Themselves] Top of the Pops (1964) {(1978-07-20)}  (archive footage)  [Themselves]  <3>
A Tribe Called Quest;All That (1994) {(#3.7)}  [Themselves - Musical Guest]  <8> Moesha (1996) {A Concerted Effort: Part 1 (#2.9)}  [Themselves]  <10> The Video Pool (1984) {(#1.150)}  (archive footage)  [Themselves]
a zovu ga Elvis, Dragan;Decak iz Junkovca (1995)  [Himself]  <31>
A'Barrow, Neal;256 Steps (2012)  [Leo Smith]  <1> Singing Blues (2013)  [Ethan]
A'Barrow, Robert;256 Steps (2012)  [Soldier Hall]
A'Beckett, Arthur;Bluey (1976) {Star Turn (#1.17)}  [Neighbour]  <12> Division 4 (1969) {Rubber Bunny (#1.291)}  [Bartlett] Division 4 (1969) {The Last of the 78's (#1.252)}  [Magistrate] Homicide (1964) {Coup De Grace (#1.436)} Homicide (1964) {No Rhyme or Reason (#1.424)} Matlock Police (1971) {Deep Water (#1.167)}  [Harry Parker] Matlock Police (1971) {Executioner (#1.117)}  [Baker] Matlock Police (1971) {Time Bomb (#1.219)}  [Black]
A'Brassard, Freddie;Dark Souls (2011) (VG)  (voice)  [Artorias of the Abyss]  <23> Code of a Killer (2015) {(#1.2)}  (uncredited)  [Student Reporter] Summer in Transylvania (2010) {Summer That Time Forgot: Part 1 (#1.1)}  [Vlad] Summer in Transylvania (2010) {Summer that Time Forgot: Part 2 (#1.2)}  [Vlad]
A'Cavian, Bobby;Ocean's 7-11 (2008)  [Eggs Benedict] The O.R. (2007)  [Oman]
A'Court, Mark;Our Green Roadie: Snapshots and Stories Shared (2012)  [Fresh Choice Nelson]
A'Etonu, Silulu;Hopeless Romantic (2011) (V)  [Myra Link]
A'Harrah, Wesley Trevor (II);Dilbert Davis (2014)  [Dilbert Davis]
A'Hearn, Brett;Watch the Shadows Dance (1987)  [Karate Contestant]  <19> Wildside (1997) {(#2.16)}  (as Brett Ahern)  [Marvin Hopp]  <8>
A'Hearn, Stephen;Sex Sells: The Making of 'Touché' (2005)  [Lead Protester]  <13>
A'Hern, Kevin Matthew;Through the Devil's Eyes (2014)  [Paramedic]
A'Lexis, Charles;Lady Blues (1996)  [Clerk]  <15> Shadow Creature (1995)  [Guard]  <23>
A'Nur, Yussuf Abed;Me'Ahorei Hasoragim (1984)  [Rashid]
A'Skimba;Top à... (1964) {Sylvie et Johnny}  [Themselves]  <6>
A'Studio;MTV Russia Music Awards 2007 (2007) (TV)  [Themselves - Performer/Winner: 'Luchshaya gruppa']  <34> MTV Russia Music Awards 2008 (2008) (TV)  [Themselves - Performer/Nominee]  <17> Novyy god v derevne Glukharevo (2010) (TV)  [Themselves]  <43> Pesnya goda 2008 (2009) (TV)  [Themselves - Laureat, with Otpetye moshenniki]  <84> Pesnya goda 2009 (2010) (TV)  [Themselves - Performer/Laureat]  <121> Pesnya goda 2010 (2011) (TV)  [Themselves] Premiya Muz-TV 2006 (2006) (TV)  [Themselves]  <97> Premiya Muz-TV 2007 (2007) (TV)  [Themselves]  <88> Premiya Muz-TV 2008 (2008) (TV)  [Themselves - Nominee] Premiya Muz-TV 2009 (2009) (TV)  [Themselves - Performer/Nominee]  <44> Premiya Muz-TV 2010 (2010) (TV)  [Themselves - Performer/Winner: 'Luchshaya pop-gruppa']  <112> Premiya Muz-TV 2011 (2011) (TV)  [Themselves - Performer/Winner: 'Luchshaya pop-gruppa']  <87> Premiya Muz-TV 2012 (2012) (TV)  [Themselves - Performer/Nominee]  <48> Premiya Muz-TV 2013 (2013) (TV)  [Themselves - Guest Performer/Nominee]  <85> Premiya Muz-TV 2014 (2014) (TV)  [Themselves - Performer/Winner: 'Luchshiy duet', with Igor Krutoy]  <8> Zolotoy grammofon 2009 (2010) (TV)  [Themselves - Awardee]  <106> Fabrika zvezd (2002) {'Fabrika zvezd'. Kontsert v 'Olimpiyskom' (#7.83)}  [Themselves - Guest Performer] Fabrika zvezd (2002) {(#6.2)}  [Themselves - Guest Performer] Fabrika zvezd (2002) {(#7.54)}  [Themselves - Guest Performer] Prozhektorperiskhilton (2008) {Vladimir Menshov (#3.4)}  [Themselves - Performers] Stilyagi shou (2010) {(#2.2)}  [Themselves]  <18>
A*Teens;Top of the Pops (1964) {(2001-05-25)}  [Themselves]
A, Alaudin;5 Rupees (2014)  [Vendor]
A, Alex;The 11th Day (2008)
A, Aloysius;Love Hard (2014)  [Aloysius]
A, Amin;Between the Devil and the Deep Blue Sea (2011)
A, Amy;Love Hard (2014)  [Amy]
A, Angelina;Someone (2014)  [Angel]
A, Arzhang;Between the Devil and the Deep Blue Sea (2011)
A, Brian;The Real Homeless of Orange County (2012)
A, Gireesh;Velicham (2012)  [Neelakantan young]  <2>
A, Hassan;Just Believe (2014)  [Dr. Hamada]
A, Kobhu;1021 (2014)  [Varathan ( Sugi's Father)]
A, Kyriaki;Will Power (2015)  [Agent]
A, Mahima;Bobby Jasoos (2014)  [Amna Audition 3]
A, Maryhan;El Khoroug (2010)  [Amal]
A, Mosadeq;Kings of the New City (2014)  [Mosadeq]
A, Nazanin;Between the Devil and the Deep Blue Sea (2011)
A, Noorullah;Kings of the New City (2014)  [Noorullah]
A, Puppet;"Look (2012)  [""A""]"
A, Stef;ECETI Ranch: A Documentary (2012) (V)
A, Tamsin;As Able as Kane 'Tough Luck' (2013)
A, Yunga;Hei dao (1989)  [Li Xiao]
A-Butta;RapFix Live (2010) {Iggy Azalea, T.I., Dame Dash, Smoke DZA, Grafh, & Natural Elements (#5.11)}  [Himself]  <11>
A-Ha;... Sings James Bond (2012) (TV)  (archive footage)  [Themselves - The Living Daylights]  <6> 100 Greatest One Hit Wonders (2002) (TV)  [Themselves] A-ha: Headlines and Deadlines - The Hits of A-ha (1991) (V)  [Themselves] A-ha: Live at Vallhall - Homecoming (2002) (V)  [Themselves] A-ha: Live in South America (1993) (V)  [Themselves] A-Ha: Take on Me (1985) (V) Bambi Verleihung 2005 (2005) (TV)  [Themselves] Live 8 (2005) (TV)  [Themselves] MTV Video Music Awards 1986 (1986) (TV)  [Themselves] Simple Minds und A-ha in Concert - 2009 (2009) (TV)  [Themselves] The Big Fat Quiz of the 80s (2012) (TV)  (archive footage) (uncredited)  [Themselves] The Nature of Existence (2010)  [Himself] The Nature of Existence Companion Series (2011) (V)  [Himself] 20 to 1 (2005) {Amazing Moments in Music (#4.4)}  (archive footage)  [Themselves] Champs-Elysées (1982) {(1986-12-13)}  [Themselves] Die große Show der Sieger (2000) {(#1.1)}  [Themselves] Die Harald Schmidt Show (1995) {(2002-04-03)}  [Themselves] Die ultimative Chartshow (2003) {Die erfolgreichsten Hits des Jahres 2009 (#1.75)}  [Themselves] Die ultimative Chartshow (2003) {Die erfolgreichsten Reunions aller Zeiten (#1.74)}  [Themselves] Festival Internacional de la Canción de Viña del Mar (1963) {Viña 2006: Noche 3 (#47.3)}  [Themselves - Performer] Friday Night with Jonathan Ross (2001) {(#16.25)}  [Themselves]  <9> Germany's Next Topmodel (2006) {Finale (#4.16)}  [Themselves] Going Live! (1987) {(#1.24)}  [Themselves] Going Live! (1987) {(#1.25)}  [Themselves] Lift Off (1984) Millionär gesucht! - Die SKL Show (1998) {(#1.14)}  [Themselves] Millionär gesucht! - Die SKL Show (1998) {(#1.21)}  [Themselves] Pero ¿esto qué es? (1989) {(1990-11-30)}  [Themselves] Pop Gold (2015) {Acceptable in the 80s (#1.2)}  (archive footage)  [Themselves] Rock in Rio (1985) {(#2.8)}  [Themselves - Performers]  <2> Saturday Superstore (1982) {(#4.29)}  [Themselves] Saturday Superstore (1982) {(#5.13)}  [Themselves] Soul Train (1971) {Cheryl Lynn/a-ha (#15.4)}  [Themselves] The Album Chart Show (2006) {(#1.6)} The Best Hit USA (2003) {(2010-01-05)}  [Themselves] The Keith Harris Show (1982) {(#2.1)}  [Themselves] Top of the Pops (1964) {(1985-10-10)}  [Themselves] TX (1985) {(#1.16)}  [Themselves] U (1991) {U & sånn (#1.13)}  [Band] U-natt (1994) {(#1.1)}  [Band] Video on Trial (2005) {(#2.6)}  (archive footage)  [Themselves] Welcome to the 80's (2009) {Charts, Clips und Kommerz (#1.4)}  (archive footage)  [Themselves] Zibb (2003) {(2006-08-30)}  [Themselves] Àngel Casas Show (1984) {(#3.8)}  [Themselves]
A-Hito;Miami Shakedown (1993)  [Tennis Trainer]  <23>
A-Man;Go to Hell (1999)  [Himself]
A-Trak;5 Sides of a Coin (2003)  [Himself] As I AM: The Life and Times of DJ AM (2015)  [Himself] Electric Daisy Carnival Experience (2011) Hang the DJ (1998)  [Himself]  <4> mtvU Woodie Awards 2008 (2008) (TV)  [Himself - Presenter] Teen Choice Awards 2010 (2010) (TV)  [Himself - DJ]  <68> Rage (1987) {A-Trak Guest Programs Rage}  [Himself] The Tonight Show Starring Jimmy Fallon (2014) {Charlize Theron/Josh Hartnett/The Roots (#1.62)}  [Himself - Musical Support]
A. al Saaidi, Hamdi;Crunch (2010)  [Sam] Train Station (2014)  [Brown (Dubai)]
A. Antolino, Àlex;Puzzled Love (2010)  <42> Rebel·lió a l'aula (2005)  [Ell (as Àlex Andrés)]  <2>
A. Awan, Miriam;Death Benefit (2014)  [Zoe Valle]
A. Baaj, Hiba;66.6 FM (2012)
A. Diego, Carlos;Cuarta sesión (2013)  [Castro]  <2> Iraida (2010)  [Hombre Misterioso]  <5> Arrayán (2001) {(2012-11-01)} Arrayán (2001) {(2012-11-05)} Arrayán (2001) {(2012-11-06)} Arrayán (2001) {(2012-11-07)} Arrayán (2001) {(2012-11-08)}
A. Fekete, Zoltán;A Szórád-ház (1997) {(#1.3)} Kisváros (1993) {A vendég}
A. Ferere, Cassell;Goodbye Charm City (2015)  [Thug]
A. Flores, Luis;Raptor Hunter: Winter Edition (2011)  [Turk #1]
A. Hadi, Dudung;Bodoh-bodoh mujur (1981)
A. Luce, Michael;The Reinactors (2008)  [Himself]  <3>
A. Lyle, Caleb;Caught Dead (2014)  [Blue Flag Gang Member #1]
A. Martin, Mitchell;Hangin' On (2012)  [Tom]
A. Mendez, Wilfredo;Dance of the Revolt! (2007)  [Wil]
A. Retke, Vincent;Sacred (2004) (VG)  (voice)
A. Villarreal, Gracie;Let Me Eat Cake (2010) (V)  [Mom]
A. Wright, Brandon;Rebounds (2012)  [Joe] The Vixens (2015)  [Officer Chode]  <29>
A., Ade Nila;Pokun Roxy (2013)  [Rogayeh]
A., Adnan;White Assassin (2011) {(#1.10)}  [Max Kumar] White Assassin (2011) {(#1.2)}  [Max Kumar] White Assassin (2011) {(#1.3)}  [Max Kumar] White Assassin (2011) {(#1.4)}  [Max Kumar] White Assassin (2011) {(#1.5)}  [Max Kumar] White Assassin (2011) {(#1.6)}  [Max Kumar] White Assassin (2011) {(#1.8)}  [Max Kumar] White Assassin (2011) {(#1.9)}  [Max Kumar]
A., Alexander;Kokkino san aima (2006) (V)  [Brother - Second Story]  <15>
A., Altay;Was wisst ihr denn eigentlich schon davon? (2015)
A., Anggie Regia;Satu kecupan (2004)
A., Areski;Ma 6-T va crack-er (1997)  [Emeutier]  <88>
A., Badr;Ma 6-T va crack-er (1997)  [Emeutier]  <94>
A., Bobby;Cheech and Chong's Next Movie (1980)  [Doorman]  <33> Charlie's Angels (1976) {One Love... Two Angels: Part I (#4.24)}  [Lane]  <17> Charlie's Angels (1976) {One Love... Two Angels: Part II (#4.25)}  [Lane]  <13> Starsky and Hutch (1975) {Ballad for a Blue Lady (#4.14)}  (as Bobby A)  [Bartender]  <13>
A., Brian;Rude Tube (2008/II) {Super Pranks (#7.5)}  [Himself]
A., Casem;Beer and Board Games (2010) {Drunk Candyland (#2.7)}  <4> Beer and Board Games (2010) {Drunk Carcassonne (#3.5)}  <4> Beer and Board Games (2010) {Drunk Judgement (#3.43)}  <4> Beer and Board Games (2010) {Drunk Millionaire (#3.12)}  (archive footage)  [Himself] Beer and Board Games (2010) {Drunk Peter Coddle (#3.22)}  <4> Beer and Board Games (2010) {Drunk Public Assistance (#3.42)}  <4> Beer and Board Games (2010) {Drunk Red Dwarf (#3.21)}  <4> Beer and Board Games (2010) {Drunk Scruples (#2.32)}  <4> Beer and Board Games (2010) {Drunk Sex Maniacs (#2.8)}  <4> Beer and Board Games (2010) {Drunk Social Skills (#2.33)}  <4> Beer and Board Games (2010) {Drunk Social Skills 2 (#2.34)}  <4> Beer and Board Games (2010) {Drunk Spice Trading (#3.6)}  <4> Beer and Board Games (2010) {More Drunk Sex Maniacs (#2.9)}  <4>
A., Christian;Ganid (2012)  <6>
A., David;Once Upon a Secretary (1983) (V)  [Bartender]  <12>
A., Dominique;Dominique A, la mémoire vive (2014)  [Himself] La fabrique de panique (2010) (V)  [Himself]  <9> Peau de cochon (2004)  <10> Rendez-vous avec Jane (2005) (V)  [Himself]  <7> C à vous (2009) {(2015-03-20)}  [Himself] Ce soir (ou jamais!) (2006) {(2006-10-31)}  (as Dominique Ané)  [Himself] El álbum de la semana (2006) {(#1.31)}  [Himself] El álbum de la semana (2006) {(#1.32)}  [Himself] El álbum de la semana (2006) {(#1.33)}  [Himself] El álbum de la semana (2006) {(#1.34)}  [Himself] El álbum de la semana (2006) {(#1.35)}  [Himself] Le grand journal de Canal+ (2004) {(2015-03-12)}  [Himself] Le grand show (2012) {Calogero, le grand show}  [Himself] Miradas 2 (2004) {(2013-01-27)}  [Himself] Taratata (1993) {(2012-05-18)}  [Himself] Thé ou café (1996) {(2013-05-18)}  [Herself] Victoires de la musique (1985) {Les 11èmes victoires de la musique (#1.11)}  (as Dominique A)  [Himself] Victoires de la musique (1985) {Les victoires de la musique: 28ème édition (#1.28)}  (as Dominique A)  [Himself/L'artiste interprète masculin de l'année] ¡Atención obras! (2013) {(#3.39)}  [Himself] Ànima (2009) {(#6.33)}  [Himself]
A., Double;Howard Stern on Demand (2005) {9.11.01: A Retrospective}  (voice)  [Himself] Howard Stern on Demand (2005) {Artie's Dating Game}  (voice)  [Himself] Howard Stern on Demand (2005) {Beer League Special}  [Himself] Howard Stern on Demand (2005) {Behind the Scenes of the Howard TV Commercial}  [Himself] Howard Stern on Demand (2005) {Best of 03/06-03/10, 2006}  [Himself] Howard Stern on Demand (2005) {Best of 05/22-05/26, 2006}  [Himself] Howard Stern on Demand (2005) {Beth O. and Double A.}  [Himself]  <2> Howard Stern on Demand (2005) {Charlie Laine}  [Himself] Howard Stern on Demand (2005) {David Arquette}  (voice)  [Himself] Howard Stern on Demand (2005) {Double A}  [Himself] Howard Stern on Demand (2005) {E.G. Daily}  (voice)  [Himself] Howard Stern on Demand (2005) {Haydn Porter}  (voice)  [Himself] Howard Stern on Demand (2005) {Heidi Cortez Rides the Sybian}  (voice)  [Himself] Howard Stern on Demand (2005) {Holiday Special}  [Himself] Howard Stern on Demand (2005) {Howard's Chair}  (voice)  [Himself] Howard Stern on Demand (2005) {Howard's Last Day}  [Himself] Howard Stern on Demand (2005) {Howard's Press Tour}  [Himself] Howard Stern on Demand (2005) {Mary Jo Buttafuoco}  [Himself]  <2> Howard Stern on Demand (2005) {Scott's Dog}  (voice)  [Himself] Howard Stern on Demand (2005) {The Howard Stern Film Festival}  [Himself] Howard Stern on Demand (2005) {The Ralph Roast}  [Himself] Howard Stern on Demand (2005) {Wack Pack Revelations}  [Himself]
A., Fabrashay;(614) Days of Summer (2013)  [Himself]  <7>
A., Hernandez 'Ka' Carlos;Runaway, a Twist of Fate (2009) (VG)  (voice)
A., Hicham;Ma 6-T va crack-er (1997)  [Emeutier]  <84>
A., Hocine;Ma 6-T va crack-er (1997)  [Emeutier]  <89>
A., Ibrahim;Pauw & Witteman (2006) {(#7.91)}  [Himself - Zakenman]  <3>
A., Jean-Vincent;Ma 6-T va crack-er (1997)  [Emeutier]  <91>
A., Joe;The Dark Side of Porn (2005) {Diary of a Porn Virgin (#1.2)}  (as Joe)  [Himself]
A., John;The S.P.I.E.S. Files (2014) {Meet the New Boss (#1.0)}  [Trevor Blackburn] The S.P.I.E.S. Files (2014) {The White Witch of Weinberg Mill (#1.1)}  [Trevor Blackburn]
A., Jonny;Street Racer (2008) (V)  [Racer]  <28>
A., Jose Luis;Homecoming (2012/IX)  [Jesus]
A., Josh;Early Soldier (2015) (V)  [Guard]  <5>
A., Julia;The Koala (2008)
A., Kevin;Archon Defender (2009)  (voice)  [Geiss/Iasius/Archon Rem/Monk]  <11>
A., Kodanda Rami Reddy;Rainbow (2008)
A., Lewellyn;Sheltered Life (2006)  [Lew]
A., Lionel;Ma 6-T va crack-er (1997)  [Emeutier]  <85>
A., Lord;Universo Fantástico (2011) (V)  [Himself] Lenda Urbana (2013) {#SPASSOMBRADA - Edifício Martinelli (#4.5)}  [Himself] Lenda Urbana (2013) {Crônicas de Sangue}  [Male Vampire 1]  <1>
A., Love;NeoParadise (2011) {Weihnachten mit Joko & Klaas/Wenn ich Sie wäre... Berlin Edition (#2.11)}  (as Love A)  [Themselves]  <5>
A., Mark (II);Gazelle: The Love Issue (2014)  [Himself]  <6>
A., Marko;Blackmen Cruising Crenshaw (1999) (V)
A., Master;Ring Girls (2005) (V)  [Master Toddy's Brother]  <7>
A., Mohamed;Ma 6-T va crack-er (1997)  [Emeutier]  <86>
A., Mustapha;Ma 6-T va crack-er (1997)  [Emeutier]  <83>
A., Narayana Rao;Vara Vikrayam (1939)  [Ghantayya]  <11>
A., Nick (II);Xtasy: The Real Story - Part 1 (2006) (V)  [Himself - Former Ecstasy User]  <42>
A., Nick (III);Xtasy: The Real Story - Part 2 (2008)  [Himself - Former Ecstasy User]  <24>
A., Nordine;Ma 6-T va crack-er (1997)  [Emeutier]  <90>
A., Nuo;Di Renjie: Shen du long wang (2013)  (as A Nuo)  [Tuoba Lie's Man]  <24>
A., Peter;Squadron 13 (2011)  [The Admiral] Squadron 13: Infiltration (2012)  [The Admiral]  <3>
A., Prasad;Pelli Chesi Choodu (1988)  [RaviKumar]  <8>
