$, Claw;OnCreativity (2012)  [Himself]
'El Rilete', Antonio;Los Almendros - Plaza nueva - (2000)  [Cuarto Cuadro Flamenco 'Taranta': Palmero]
'El Toro', Baltazar;Operación narcóticos (1991)  [Agente #1]  <20>
'El Viti';Los tarantos (1963)  [Cantaor]  <20>
'Finchie''Coveney, Finbar;The Brotherhood (2014)  [Biker 2]  <14>
'Fingerz' Esbai, Ali;A Heated Interview (2013)  [Adel]
'Flintstone', Tommy;Welcome to Slab City (2012)  [Himself]
'Formiga', Luis Roberto;OP Pro 88 - Barra, Rio (1988)  [Himself]
'Fox, Zhavier' (II);They Want Dick Dickster (2015)  [Dr. Shrinkalotsky]  <30>
'Gasparyan', Zohrab Bek-Gasparents;Immigrants (2009) {(#1.2)}  [Dave Afoyan]
'Ghetto Bird' Bahena, Gilberto;Mahogany Sunrise (2014)  [Jesse]  <21>
'Goochi';Everybody's Business (1993)  [Grandfather]  <1>
'Hairy Cowboy', Fred;102 PS (2009)  [Pokerspieler]  <12>
'Hos' Bearzi, Marcelo;Wakolda (2013)  [Dueño de la hostería]  <18>
'Igor' Morrison, Van;Killing Device (1993)  [Jeep Driver]  <51>
'Illy' Liban, Ellias;Troop 491: the Adventures of the Muddy Lions (2013)  [Big Gook]
'Insane Wayne' Smith, Wayne;Welcome to Slab City (2012)  [Himself]
'Irisipau;Shaping Bamboo (1979)  [Himself - Panpipe maker/'au tahana panpipe ensemble/'au paina panpipe ensemble]
'Irisitapa'a, Supamae;Shaping Bamboo (1979)  [Himself - 'Irisipau's Assistant/'au paina panpipe ensemble]
'Ivanzinho' Oliveira, Ivã;Claudia Leitte: Ao Vivo em Copacabana (2008) (V)  [Himself - Invited Musician]
'Jazz' Jasmer, Andrew;Devout (2015)  [Prisoner #3]
'Jumbles' Cook, David;Heron's Story (2008)  [Man at Bar 3]
'K', Murray the;Around the Beatles (1964) (TV)  [Himself] Been Down So Long It Looks Like Up to Me (1971)  [Himself] I Wanna Hold Your Hand (1978)  [Himself]  <47> It's What's Happening, Baby! (1965) (TV)  [Himself - Host] Sweet Talkin' Guys (1991) (TV)  (archive footage)  [Himself] That's the Way of the World (1975)  [Big John Little]  <22> The Beatles at Shea Stadium (1966) (TV)  [Himself] The Beatles: The First U.S. Visit (1991) (V)  [Himself - DJ, New York] The Day the Music Died (1977)  [Himself/Disc Jockey] What's Happening! The Beatles in the U.S.A. (1964) (TV)  [Himself]  <9> All You Need Is Love (1977) {Introduction (#1.1)}  [Himself] All You Need Is Love (1977) {Mighty Good: The Beatles (#1.14)}  [Himself] B.J. and the Bear (1978) {Blond in a Gilded Cell (#3.8)}  [Rocky]  <11> Bandstand (1952) {(#9.15)}  [Himself] Biography (1987) {The Munsters: America's First Family of Fright}  (archive footage)  [Himself] Coronet Blue (1967) {The Flip Side of Timmy Devon (#1.11)}  [Big Hart]  <6> The Beatles Anthology (1995) {July '40 to March '63 (#1.1)}  (archive footage) (uncredited)  [Himself] The Sixties (2013) {The British Invasion (#1.6)}  (archive footage)  [Himself - WINS Radio NY] This Is Your Life (1952) {Bobby Darin}  [Himself]
'Kick Boxer', Néstor;Violencia urbana (1996)  [Montaña]  <21>
'Kid Niagara' Kallet, Harry;Drug Demon Romance (2012)
'Koolout' Starks, Johnny;Don't Bite the Apple (2011)  [Michael Parker] Nothing Like the Holidays (2008)  [Alexis' Thug]  <35> Ransum Games (2014)  [Henchman #3]  <6> Subtle Seduction (2008)  [Officer Ward]  <9> The Godfather of Green Bay (2005)  (as Johnny Starks)  [Marcus]  <18> Using (2015)  [Randall Dawson]  <10>
'La Chispa', Tony;Caceria de judiciales (1997)  <11> El secuestro de un periodista (1992)  [Doctor Giraldo] Violencia en la sierra (1995)  [Victoriano]  <4>
'Latin' Clark, James;Manito: Brother's Sacrifice (2013)  [Dvs]
'Lito' Tejada, Yradier;Rebecca's Window (2006)  [Sammy]  <4> Atlantic City Chronicles (2013) {Flashback (#1.2)}  [Renaldo Satin] Atlantic City Chronicles (2013) {Hang Over (#1.5)}  [Renaldo Satin] Atlantic City Chronicles (2013) {High Tide (#1.7)}  [Renaldo Satin]  <1> Atlantic City Chronicles (2013) {Low Tide (#1.6)}  [Renaldo Satin] Atlantic City Chronicles (2013) {New World Order (#1.3)}  [Renaldo Satin] Atlantic City Chronicles (2013) {Tall Tales (#1.4)}  [Renaldo Satin]
'Little Kato', Chris;Jackass 3D (2010)  [Himself]  <68>
'Lucky' Hudson, Scott;Speed Scene Live (2012)  [Himself - Host]  <3>
'Macadamia'. Martín Rodríguez, José Luis;El hormiguero (2006) {(2011-03-23)}  [Himself]
'Mad Dog' Adams, Mike;Zeroville (2015)  [Hippie Guitar Player]
'Maka West', Jerry;Nom Tèw (2009)
'Malid, Paddy;In the Land of the Head Hunters (1914)  [Kenada]  <5>
'Marombinha' Souza, Gleidson;Claudia Leitte: Ao Vivo em Copacabana (2008) (V)  [Himself - Invited Musician]
'Mascot' Benjamin, Cameron;Silencer: Acquisition (2014)  [Jasper]
'McGillicuddy' Johnson, Hildy;Jenny's Wedding (2015)  [Mickey the Dog]  <26>
'Mezio Agostini' di Fano, Coro del Teatro della Fortuna;Trento Symphonia (2014)
'Mixerman' Sarafin, Eric;"Pensado's Place (2011) {Eric ""Miyerman"" Sarafin (#2.67)}  [Guest]"
'Monkey' Stevens, Neal;Back Issue (2014)  [Agent Thug 1] Grey Britain (2009)  [Pestilence] Half Hearted (2010)  (as Monkey)  [Tattooist]  <15> Sign Language (2010/II)  (as Neal Stevens)  [Steve]  <6> The Leap (2015)  [Lead Smuggler]
'Morita';Los tarantos (1963)  (as 'Morità')  [Cantaor]  <18>
'Mr. Cool', Achyutan;A Journey from the N-Side: An Unscripted Profile of a Jazz/Poet (2010) (V)  [Himself]
'Mr. Talkbox' Chambers, Byron;Nathan East: For the Record (2014)  [Himself]
'Muhammad Ali of R&B', Yavin;The Enemies You Keep (2012)  [Tyrone's Bodyguard #2]
'Muso, Joseph;Song of Africa (1952)  <1>
'n' Butterfly, Dog;The World's Greatest Tribute Bands (2013) {Dog N Butterfly (#4.5)}  (as Dog N Butterfly)  [Themselves - Performer]  <2>
'Oahura;Shaping Bamboo (1979)  [Himself - 'au paina panpipe ensemble]
'Oh, Mark;Das perfekte Promi-Dinner (2005) {Das perfekte Promi-Dinner rund ums Ruhrgebiet}  [Himself] Die ultimative Chartshow (2003) {Die erfolgreichsten Sänger (#1.12)}  (as Mark'Oh)  [Himself]
'Perruca' González, Antonio;El meu avi (2001) {Antonio González, l'artista de casa}  [Himself]
'Potbelly' Rodger, Jason;Gospel Truth (2011)  [The Fugitive]  <2>
'Pucherete';Los tarantos (1963)  [Guitarist]  <14>
'Raff';Reflections of Evil (2002)  [Real LAPD Officer]  <57>
'Rami' Wells, Hinton;JFH Brawl (2007) (V)  [Wrangler Smarts] Justice-For-Hire (2005)  [Dread]
'Reaktion' Hillard, Seth;Banned: Official 2014 World Cup Song (2014) (V)  [Dancer] Dysfunktion (2016)  [Reaktion]
'Romero', Pollino;La estatua (1961)
'Russ' Kennedy, James;Lewis & Clark: Great Journey West (2002)  [Corps of Discovery]
's-Gravenzande, Ad;Going to the Dogs (1986) (TV)  (uncredited)  [Himself]
'Sal' Silvino, Salas;Subprime Children (2012)  [Divorcing Husband]
'Sexy Sax Man' Flores, Sergio;JustKiddingFilms (2007) {PSY: Gangnam Style M/V - Parody (#6.37)} Rude Tube (2008/II) {Utter Pranks (#4.4)}  (as Sergio Flores)  [Himself]
'Shepherd, Kenny Wayne Shepherd'qv;Front and Center (2013) {The Rides (#2.9)}  [Himself - Guitar, Vocals]
'Shotgun' Smith, Andrew;Candie's Harem (2015)  (voice)  [TV narrator]  <51>
'Sledgehammer' Jones, Jerry;Welcome to Slab City (2012)  [Himself]
'Slick' Nesevitch, Chris;Step Fast (1994)  [Continental Club Dancers]
'Son Son' Dupain, Stevenson;"Noise Runs (2014)  [Stevenson ""Son Son"" Dupain]"
'Soul' Beard, Cory;The Crime City Diaries: Entry 1 - Crooked (2012)  [Detective Marcus Gaines]
'Spax' Szulc-Vollmann, Rafael;Battle of the Year (2013)  [MC Spax]  <51>
'Stake' Morton III, Michael;Josephine Doe (2015)  [Cashier]  <8>
'Sticks' Hilliard, Johnny;Welcome to Slab City (2012)  [Himself]
'Stretch' Cox Troupe;Fire Down Below (1957)  (as the 'Stretch' Cox Troupe) (also as 'Stretch' Cox and his Troupe also)  [Limbo Dance by]  <20>
't Hart, Maarten;Boudewijn Büch - De dichter, de dodo en het demasqué (2008) (TV)  [Himself]  <3> De eenzame oorlog van Koos Tak (1996) {Het boekenbal (#1.1)} De wereld draait door (2005) {(#1.106)}  [Himself]  <3> De wereld draait door (2005) {(#2.88)}  [Himself]  <3> De wereld draait door (2005) {(#4.152)}  [Himself]  <3> De wereld draait door (2005) {(#5.141)}  [Himself - Schrijver]  <3> De wereld draait door (2005) {(#5.178)}  (also archive footage)  [Himself] De wereld draait door (2005) {(#7.3)}  [Himself] De wereld draait door (2005) {(2013-12-09)}  [Himself - Schrijver] Pauw & Witteman (2006) {(#1.9)}  [Himself]  <5> Pauw & Witteman (2006) {(#2.73)}  [Himself]  <4> Pauw & Witteman (2006) {(#4.2)}  [Himself]  <6> Pauw & Witteman (2006) {(#5.99)}  [Himself - Schrijver]  <4> Pauw & Witteman (2006) {(#8.139)}  [Himself]  <6> Zomergasten (1988) {(#23.2)}  [Himself]  <2>
't Hart, Michiel;Het bloed kruipt (1985) {De verzoeking (#1.7)}  [Pastoor 1]  <5>
